Time,HeadX,HeadY,HeadZ,HeadRotX,HeadRotY,HeadRotZ,LeftHandX,LeftHandY,LeftHandZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,RightHandX,RightHandY,RightHandZ,RightHandRotX,RightHandRotY,RightHandRotZ
5.014202,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
5.220714,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
5.424221,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73115
5.631327,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147518,0.7601138,0.1587041,359.508,337.7478,76.73115
5.853464,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
6.059045,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
6.26405,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73115
6.464804,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73116
6.673347,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73115
6.879092,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
7.086054,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
7.29185,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
7.515201,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73116
7.739016,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147518,0.7601138,0.1587041,359.508,337.7478,76.73115
7.939142,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73116
8.143574,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73116
8.354035,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
8.555719,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73116
8.756465,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73116
8.976791,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73116
9.183179,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
9.385663,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
9.595182,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73116
9.799149,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
10.01314,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
10.22056,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
10.42197,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73116
10.62317,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
10.83723,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73115
11.04165,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
11.24458,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
11.46422,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147518,0.7601138,0.1587041,359.508,337.7478,76.73114
11.66768,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
11.87537,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
12.09012,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
12.29225,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
12.49628,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
12.69846,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73115
12.89985,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73115
13.10357,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
13.30994,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
13.51109,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
13.71402,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
13.91876,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
14.11998,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147518,0.7601138,0.1587041,359.508,337.7478,76.73115
14.32404,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
14.53331,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
14.73428,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
14.93759,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
15.13968,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
15.34299,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147518,0.7601138,0.1587041,359.508,337.7478,76.73114
15.54343,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
15.74589,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601137,0.158704,359.508,337.7478,76.73116
15.96591,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73116
16.17004,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601141,0.158704,359.508,337.7478,76.73115
16.37677,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73117
16.57962,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
16.78215,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147517,0.7601139,0.1587042,359.508,337.7478,76.73116
16.98252,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330965,0.7511228,0.155218,357.0473,204.4577,265.6438,-0.2147515,0.7601141,0.158704,359.508,337.7478,76.73116
17.1853,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330964,0.7511225,0.155218,357.0473,204.4577,265.6438,-0.2147518,0.7601138,0.1587041,359.508,337.7478,76.73115
17.39194,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147519,0.7601138,0.1587042,359.508,337.7478,76.73116
17.60237,-6.473917E-05,1.423336,0.1352942,359.9003,269.9915,85.56597,0.2330963,0.7511224,0.155218,357.0473,204.4577,265.6438,-0.2147516,0.7601139,0.1587039,359.508,337.7478,76.73116
